Nome,Telefone,Bairro,Avaliação Google,Nº Avaliações,Google Maps,Script Versão,Status,Data Msg 1,Data Follow-up,Data Encerramento,Resposta do Lead,Observações
Retrô 22,+55 11 95193-3863,Lapa,5,131,https://www.google.com/maps/search/?api=1&query=Retr%C3%B4%2022&query_place_id=ChIJCSpbXTD5zpQR_UHyli09gSg,,Não contactado,,,,,
Barbearia abadia,+55 11 98154-9199,Lapa de Baixo,4.7,83,https://www.google.com/maps/search/?api=1&query=Barbearia%20abadia&query_place_id=ChIJa2aZB2f4zpQRn9Xk9_4MAXI,,Não contactado,,,,,
BARBEARIA FREESTYLE 01,+55 11 96830-1177,Vila Carmosina,4.7,173,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20FREESTYLE%2001&query_place_id=ChIJVZw955lmzpQRFwLy9UmFZqU,,Não contactado,,,,,
BARBEARIA FREESTYLE 02,+55 11 95924-6539,Vila Carmosina,4.7,259,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20FREESTYLE%2002&query_place_id=ChIJZU_CJLJnzpQReQYiwbHluls,,Não contactado,,,,,
Barbearia First Option Classe A,+55 11 94732-3345,Itaquera,4.8,214,https://www.google.com/maps/search/?api=1&query=Barbearia%20First%20Option%20Classe%20A&query_place_id=ChIJWRpDCJRmzpQRMgeJ4OJ1XOk,,Não contactado,,,,,
Barbearia DS,+55 11 98241-8854,Itaquera,4.9,232,https://www.google.com/maps/search/?api=1&query=Barbearia%20DS&query_place_id=ChIJozIaMkNnzpQRRfRYothnorE,,Não contactado,,,,,
Primos Barbearia,+55 11 95992-9488,Itaquera,4.6,80,https://www.google.com/maps/search/?api=1&query=Primos%20Barbearia&query_place_id=ChIJs5f5jKVmzpQR9D8d5_OLuS4,,Não contactado,,,,,
Trezentos Barber Shop,+55 11 93956-3128,Jardim Cleide,3.7,25,https://www.google.com/maps/search/?api=1&query=Trezentos%20Barber%20Shop&query_place_id=ChIJ-eY6qAdnzpQR2W8xq2LpfRc,,Não contactado,,,,,
Barbearia - New Style,+55 11 95211-6161,Conjunto Residencial José Bonifácio,4.9,217,https://www.google.com/maps/search/?api=1&query=Barbearia%20-%20New%20Style&query_place_id=ChIJt_8aS5tmzpQRH4_0I22a_Lc,,Não contactado,,,,,
Original Barbearia,+55 11 4248-8361,Itaquera,4.5,201,https://www.google.com/maps/search/?api=1&query=Original%20Barbearia&query_place_id=ChIJ8_Zs3JlmzpQRp_9R2BsGRMc,,Não contactado,,,,,
Barbearia Black Zone Pinheiros Fradique Coutinho,+55 11 2478-2748,Pinheiros,4.9,630,https://www.google.com/maps/search/?api=1&query=Barbearia%20Black%20Zone%20Pinheiros%20Fradique%20Coutinho&query_place_id=ChIJm7HG0EtXzpQRO-WhaXOdHkI,,Não contactado,,,,,
Barbearia Studio Luiz Barber 💈,+55 11 95994-1795,Pinheiros,5,58,https://www.google.com/maps/search/?api=1&query=Barbearia%20Studio%20Luiz%20Barber%20%F0%9F%92%88&query_place_id=ChIJ8xsCPuBXzpQRlimNwLDxUwg,,Não contactado,,,,,
Barbearia The Captain’s - Pinheiros,+55 11 97690-0924,Pinheiros,4.5,151,https://www.google.com/maps/search/?api=1&query=Barbearia%20The%20Captain%E2%80%99s%20-%20Pinheiros&query_place_id=ChIJL61K0WxXzpQRcB3CivLigJ8,,Não contactado,,,,,
Barbearia o Calixto - Pinheiros,+55 11 4562-3450,Pinheiros,5,21,https://www.google.com/maps/search/?api=1&query=Barbearia%20o%20Calixto%20-%20Pinheiros&query_place_id=ChIJE1lz0YVXzpQRsA6NWS7J3iw,,Não contactado,,,,,
Barbearia Valentins,+55 11 95459-2011,Pinheiros,4.9,99,https://www.google.com/maps/search/?api=1&query=Barbearia%20Valentins&query_place_id=ChIJh1-fQvtXzpQRMOfSulsWzQc,,Não contactado,,,,,
Drip & Cut Barber Co.,+55 11 99753-0289,Vila Mariana,5,155,https://www.google.com/maps/search/?api=1&query=Drip%20%26%20Cut%20Barber%20Co.&query_place_id=ChIJbVKKVAtbzpQRluUKIWWR0hc,,Não contactado,,,,,
Barber SP,+55 11 5908-1673,Vila Mariana,4.9,182,https://www.google.com/maps/search/?api=1&query=Barber%20SP&query_place_id=ChIJvQNGpI1ZzpQR0aXMEtcmvLo,,Não contactado,,,,,
Barbearia Reinaldo - Mooca,+55 11 97968-3949,Mooca,5,36,https://www.google.com/maps/search/?api=1&query=Barbearia%20Reinaldo%20-%20Mooca&query_place_id=ChIJMfGLcZZZzpQR4B33iI7nQb4,,Não contactado,,,,,
Barbearia Conventi Mooca IV,+55 11 93218-0662,Mooca,5,271,https://www.google.com/maps/search/?api=1&query=Barbearia%20Conventi%20Mooca%20IV&query_place_id=ChIJWacqyg5ZzpQRMCWOIXnLC4o,,Não contactado,,,,,
Felix Barbershop Mooca,+55 11 98630-0463,Alto da Mooca,5,36,https://www.google.com/maps/search/?api=1&query=Felix%20Barbershop%20Mooca&query_place_id=ChIJg-WqmPZdzpQRYkT3ShUnTN8,,Não contactado,,,,,
RB Barbearia,+55 11 2157-2468,Mooca,4.9,94,https://www.google.com/maps/search/?api=1&query=RB%20Barbearia&query_place_id=ChIJMU-IRKtezpQRq0JV3BoJlsE,,Não contactado,,,,,
Barbearia Dom Papito unidade Mooca,+55 11 94890-2009,Mooca,5,104,https://www.google.com/maps/search/?api=1&query=Barbearia%20Dom%20Papito%20unidade%20Mooca&query_place_id=ChIJ_amVCvFZzpQR2Bu_b3rm2go,,Não contactado,,,,,
Barbearia Costa Norte,+55 11 3729-6167,Santana,4.8,156,https://www.google.com/maps/search/?api=1&query=Barbearia%20Costa%20Norte&query_place_id=ChIJT-UYZ1v3zpQRM5VWZWom9FQ,,Não contactado,,,,,
Barbearia Rio Grande,+55 11 94949-8118,Vila Mariana,4.6,132,https://www.google.com/maps/search/?api=1&query=Barbearia%20Rio%20Grande&query_place_id=ChIJXVIO4IhZzpQRGqCLAYwDnFc,,Não contactado,,,,,
London Barbearia Tatuapé,+55 11 96987-5816,Tatuapé,5,79,https://www.google.com/maps/search/?api=1&query=London%20Barbearia%20Tatuap%C3%A9&query_place_id=ChIJkQVTryZfzpQRtaWUlTnigN8,,Não contactado,,,,,
Barbearia Bravíssimo,+55 11 2532-1143,Vila Mariana,4.6,242,https://www.google.com/maps/search/?api=1&query=Barbearia%20Brav%C3%ADssimo&query_place_id=ChIJ0wjC3NRbzpQRDF2cHmhNH8M,,Não contactado,,,,,
Ortiz barber,+55 11 97223-1639,Itaquera,5,27,https://www.google.com/maps/search/?api=1&query=Ortiz%20barber&query_place_id=ChIJbeP5gwxlzpQRHI62GbGN1dc,,Não contactado,,,,,
BARBEARIA NASHVILLE,+55 11 94629-9799,Itaquera,4.9,24,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20NASHVILLE&query_place_id=ChIJBd6ILgJZzpQRTrMPY2uAz3U,,Não contactado,,,,,
Barbearia Trajano,+55 11 94600-5376,Lapa,5,14,https://www.google.com/maps/search/?api=1&query=Barbearia%20Trajano&query_place_id=ChIJudNOI2j5zpQRNxH5CRNez_s,,Não contactado,,,,,
BARBEARIA SANTANA,+55 11 94485-3250,Parque da Mooca,4.9,39,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20SANTANA&query_place_id=ChIJ4RHgxH5ZzpQRQnUGNFV8tew,,Não contactado,,,,,
Barbearia Santana,+55 11 95953-5587,Jardim Helena,5,11,https://www.google.com/maps/search/?api=1&query=Barbearia%20Santana&query_place_id=ChIJgQplPM5jzpQRnielzF7uXic,,Não contactado,,,,,
Barbearia Qc,+55 11 95202-3275,Itaquera,4.9,38,https://www.google.com/maps/search/?api=1&query=Barbearia%20Qc&query_place_id=ChIJG91Muy5hzpQR5AE3CPky-H8,,Não contactado,,,,,
Harlem Barber Club - Shopping Eldorado,+55 11 99929-7956,Pinheiros,4.6,236,https://www.google.com/maps/search/?api=1&query=Harlem%20Barber%20Club%20-%20Shopping%20Eldorado&query_place_id=ChIJERbo9eBXzpQRlsi9x_N7rEY,,Não contactado,,,,,
Barber Shop Black Stylle (Unidade Tatuapé),+55 11 93754-1550,Tatuapé,5,227,https://www.google.com/maps/search/?api=1&query=Barber%20Shop%20Black%20Stylle%20(Unidade%20Tatuap%C3%A9)&query_place_id=ChIJMXtfUAZfzpQRIrFapfrQkVw,,Não contactado,,,,,
Barbearia Barber Woman,+55 11 93261-4004,Alto da Lapa,5,43,https://www.google.com/maps/search/?api=1&query=Barbearia%20Barber%20Woman&query_place_id=ChIJI3O8puP5zpQRx-ryqVGU9MU,,Não contactado,,,,,
Barbearia D' Diniz,+55 11 94107-1157,Itaquera,4.6,126,https://www.google.com/maps/search/?api=1&query=Barbearia%20D'%20Diniz&query_place_id=ChIJVVVyuPlmzpQRpmCNQ6qTXXA,,Não contactado,,,,,
Barbearia Hera,+55 11 3796-7398,Tatuapé,4.9,308,https://www.google.com/maps/search/?api=1&query=Barbearia%20Hera&query_place_id=ChIJFa-XddxezpQRQr8XEf_Cqzk,,Não contactado,,,,,
Bento Barbearia,+55 11 99251-8946,Parque da Lapa,5,60,https://www.google.com/maps/search/?api=1&query=Bento%20Barbearia&query_place_id=ChIJrQggitT5zpQRpsIyAurnZfA,,Não contactado,,,,,
Barbearia Santana & Cia.,+55 11 94996-7195,Americanópolis,5,57,https://www.google.com/maps/search/?api=1&query=Barbearia%20Santana%20%26%20Cia.&query_place_id=ChIJi0BjIMdFzpQRjpB03PBiLcw,,Não contactado,,,,,
Vintage Barbearia,+55 11 3213-4514,Tatuapé,4.7,103,https://www.google.com/maps/search/?api=1&query=Vintage%20Barbearia&query_place_id=ChIJjbRnvItezpQRIzi-Dl-QAnQ,,Não contactado,,,,,
Barbearia Santos,+55 11 95725-5638,Itaquera,4.7,17,https://www.google.com/maps/search/?api=1&query=Barbearia%20Santos&query_place_id=ChIJ_SMpyTRnzpQRMcJcQ0znOeQ,,Não contactado,,,,,
Barbearia Adaga Tattoo e body Pircing,+55 11 5083-6193,Vila Mariana,4.9,216,https://www.google.com/maps/search/?api=1&query=Barbearia%20Adaga%20Tattoo%20e%20body%20Pircing&query_place_id=ChIJi6UabvpZzpQR54BPCGWMg0U,,Não contactado,,,,,
Moocabelo Barber Shop,+55 11 95081-4046,Mooca,5,18,https://www.google.com/maps/search/?api=1&query=Moocabelo%20Barber%20Shop&query_place_id=ChIJo3RZ1cJZzpQRRKetIuqnAmI,,Não contactado,,,,,
barbershopdocarioca,+55 11 98804-3854,Mooca,5,91,https://www.google.com/maps/search/?api=1&query=barbershopdocarioca&query_place_id=ChIJQw09SxBZzpQR3Om5IbamRbY,,Não contactado,,,,,
Barber Brasil (A Loja do Barbeiro),+55 11 2073-5414,Itaquera,5,94,https://www.google.com/maps/search/?api=1&query=Barber%20Brasil%20(A%20Loja%20do%20Barbeiro)&query_place_id=ChIJE9EKllJlzpQR1LdpShvF0OE,,Não contactado,,,,,
Barbearia Nascimento,+55 11 91876-8549,Santana,4.6,93,https://www.google.com/maps/search/?api=1&query=Barbearia%20Nascimento&query_place_id=ChIJu7O3mSn2zpQRxiB2UMcpqrY,,Não contactado,,,,,
Barbearia e Estética Fio do Bigode,+55 11 3675-5262,Alto de Pinheiros,4.8,161,https://www.google.com/maps/search/?api=1&query=Barbearia%20e%20Est%C3%A9tica%20Fio%20do%20Bigode&query_place_id=ChIJ70HPgZD5zpQRAte2hqevoH4,,Não contactado,,,,,
Mattos Barbearia,+55 11 97711-7423,Itaquera,5,58,https://www.google.com/maps/search/?api=1&query=Mattos%20Barbearia&query_place_id=ChIJ3xzFl8dnzpQRsp7rE1SbnyY,,Não contactado,,,,,
Barbearia Belo Corte,+55 11 95245-3943,Santana,4.3,22,https://www.google.com/maps/search/?api=1&query=Barbearia%20Belo%20Corte&query_place_id=ChIJq-6Uv6_3zpQR_wruDuj9cOg,,Não contactado,,,,,
Barbearia Ramirez,+55 11 3082-2530,Pinheiros,4.5,80,https://www.google.com/maps/search/?api=1&query=Barbearia%20Ramirez&query_place_id=ChIJCe9rEIRXzpQR9nsgSmXT4mo,,Não contactado,,,,,
Oficina do Cabelo (Pinheiros),+55 11 3032-6667,Pinheiros,4.8,431,https://www.google.com/maps/search/?api=1&query=Oficina%20do%20Cabelo%20(Pinheiros)&query_place_id=ChIJhZjkVadXzpQRIx3_9HkP1Hc,,Não contactado,,,,,
Barbearia Scorpions,+55 11 99497-5679,Pinheiros,5,26,https://www.google.com/maps/search/?api=1&query=Barbearia%20Scorpions&query_place_id=ChIJ4xbUv4ZXzpQRsgwcTu4oEUc,,Não contactado,,,,,
BARBEARIA MADALENA,+55 11 97307-4740,Vila Madalena,4.9,249,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20MADALENA&query_place_id=ChIJFXgAD3BXzpQRtILtOaJY_qk,,Não contactado,,,,,
Apolo Barbearia - Vila Madalena / Pinheiros,+55 11 99700-7887,Sumarezinho,4.9,111,https://www.google.com/maps/search/?api=1&query=Apolo%20Barbearia%20-%20Vila%20Madalena%20%2F%20Pinheiros&query_place_id=ChIJBwxTSa1XzpQR0fplvR2Lb1o,,Não contactado,,,,,
Barbearia Parente,+55 11 95045-9381,Santana,4.6,42,https://www.google.com/maps/search/?api=1&query=Barbearia%20Parente&query_place_id=ChIJnwSyjyX2zpQRWc1wCl0UB_A,,Não contactado,,,,,
Santana Barbeiro,+55 11 95891-9457,Vila Maria Alta,,,https://www.google.com/maps/search/?api=1&query=Santana%20Barbeiro&query_place_id=ChIJQ5-pUkRfzpQROYg2oLpl32s,,Não contactado,,,,,
Ferreiras Barbearia,+55 11 97551-6807,Santana,5,7,https://www.google.com/maps/search/?api=1&query=Ferreiras%20Barbearia&query_place_id=ChIJweZoRf_3zpQRETeGrTD988Y,,Não contactado,,,,,
Barbearia Neg’s,+55 11 94401-6619,Tatuapé,5,25,https://www.google.com/maps/search/?api=1&query=Barbearia%20Neg%E2%80%99s&query_place_id=ChIJL3zcTQBfzpQR6IZKMgKi5l8,,Não contactado,,,,,
Zero7 Barbershop,+55 11 97067-9742,Itaquera,5,7,https://www.google.com/maps/search/?api=1&query=Zero7%20Barbershop&query_place_id=ChIJOUa0HLNnzpQRKQHKth2yl7k,,Não contactado,,,,,
DÚzZECA BARBEARIA,+55 11 95348-0301,Itaquera,5,7,https://www.google.com/maps/search/?api=1&query=D%C3%9AzZECA%20BARBEARIA&query_place_id=ChIJX2AyUoJhzpQRCwf1GcFQK0I,,Não contactado,,,,,
Af Studio Barber,+55 11 94554-6643,Jardim Santo Andre,5,30,https://www.google.com/maps/search/?api=1&query=Af%20Studio%20Barber&query_place_id=ChIJgc9M-txpzpQRvhNjhYHCMT0,,Não contactado,,,,,
Barbearia Cavaleiro,+55 11 94661-6622,Tatuapé,4.9,29,https://www.google.com/maps/search/?api=1&query=Barbearia%20Cavaleiro&query_place_id=ChIJuVdyI-JfzpQRCTLFHGrdbos,,Não contactado,,,,,
Verus Barbearia,+55 11 98425-3611,Vila Azevedo,4.9,94,https://www.google.com/maps/search/?api=1&query=Verus%20Barbearia&query_place_id=ChIJ_19dzI5fzpQRApk1WDpyVDs,,Não contactado,,,,,
BARBEARIA HORUS,+55 11 97819-2315,Tatuapé,5,1,https://www.google.com/maps/search/?api=1&query=BARBEARIA%20HORUS&query_place_id=ChIJdWTbqBBfzpQRy95EjUKW6NU,,Não contactado,,,,,
Barbůharia - Barbearia Tatuapé,+55 11 98141-6613,Tatuapé,4.9,68,https://www.google.com/maps/search/?api=1&query=Barb%C5%AFharia%20-%20Barbearia%20Tatuap%C3%A9&query_place_id=ChIJrd0I7jVfzpQROxzx6IYEPs0,,Não contactado,,,,,
Barbearia Baron,+55 11 2649-9164,Tatuapé,5,6,https://www.google.com/maps/search/?api=1&query=Barbearia%20Baron&query_place_id=ChIJxeazWAtfzpQRz9Qocjga-yo,,Não contactado,,,,,
Espaço Vulcano Tatuapé,+55 11 3791-4637,Tatuapé,4.2,5,https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Vulcano%20Tatuap%C3%A9&query_place_id=ChIJO_5b5mlfzpQRXTc3jweNER0,,Não contactado,,,,,
Barbearia 1980,+55 11 98575-1980,Cidade Mãe do Céu,4.8,220,https://www.google.com/maps/search/?api=1&query=Barbearia%201980&query_place_id=ChIJX7WH4cNezpQRYgbnqxQNAL4,,Não contactado,,,,,
Barbearia Los Hermanos Gula,+55 11 99692-9273,Vila Carmosina,4.9,29,https://www.google.com/maps/search/?api=1&query=Barbearia%20Los%20Hermanos%20Gula&query_place_id=ChIJ8RrnHyBnzpQRQV7TJyvYJzI,,Não contactado,,,,,
Barbearia no talento,+55 11 98109-8182,Itaquera,4.8,6,https://www.google.com/maps/search/?api=1&query=Barbearia%20no%20talento&query_place_id=ChIJcaGR6hdnzpQRKdu8E21JCps,,Não contactado,,,,,
Barber shop Mauricio Moustache,+55 11 94730-3544,Itaquera,5,15,https://www.google.com/maps/search/?api=1&query=Barber%20shop%20Mauricio%20Moustache&query_place_id=ChIJc5zv2-tnzpQR_C52p5F0nGM,,Não contactado,,,,,
Barbearia King style,+55 11 98409-7114,Itaquera,5,12,https://www.google.com/maps/search/?api=1&query=Barbearia%20King%20style&query_place_id=ChIJEQHyX79nzpQR4st7q3EbJWA,,Não contactado,,,,,
Barbearia Premium,+55 11 95113-2973,A,5,32,https://www.google.com/maps/search/?api=1&query=Barbearia%20Premium&query_place_id=ChIJKaTrpl9nzpQRROs5ETGnBwo,,Não contactado,,,,,
JC Studio Barber,+55 11 95430-6834,Itaquera,4.8,12,https://www.google.com/maps/search/?api=1&query=JC%20Studio%20Barber&query_place_id=ChIJISF8CGhnzpQRqgHAFSN0iY8,,Não contactado,,,,,
Barbearia Do Ale,+55 11 99931-7008,Itaquera,4.9,49,https://www.google.com/maps/search/?api=1&query=Barbearia%20Do%20Ale&query_place_id=ChIJZ6nkZexmzpQRFzifbIYjTiE,,Não contactado,,,,,
RM Barbearia Itaquera - ZL,+55 11 97690-4510,Vila Carmosina,5,25,https://www.google.com/maps/search/?api=1&query=RM%20Barbearia%20Itaquera%20-%20ZL&query_place_id=ChIJZSySVHxnzpQRNH5t8Y2LqTI,,Não contactado,,,,,
Tomi Tattoo Br,+55 11 98830-4143,Santana,4.8,134,https://www.google.com/maps/search/?api=1&query=Tomi%20Tattoo%20Br&query_place_id=ChIJpb12psf3zpQRR3tXyq8bYsc,,Não contactado,,,,,
Barbearia Cruz de Malta,+55 11 4329-2078,Santana,4.7,180,https://www.google.com/maps/search/?api=1&query=Barbearia%20Cruz%20de%20Malta&query_place_id=ChIJAQDA9Cz2zpQRO5rIhPP4CK4,,Não contactado,,,,,
Specter Barbershop,+55 11 93732-9781,Alto de Santana,4.8,38,https://www.google.com/maps/search/?api=1&query=Specter%20Barbershop&query_place_id=ChIJj2urPe_3zpQRkd3dDUo6JvI,,Não contactado,,,,,
Barbearia Style Brothers,+55 11 97077-1361,Santana,4.9,117,https://www.google.com/maps/search/?api=1&query=Barbearia%20Style%20Brothers&query_place_id=ChIJUdp_0sv3zpQRDF961Dm49Gw,,Não contactado,,,,,
Barbearia Zer0800,+55 11 98473-2047,Santana,5,31,https://www.google.com/maps/search/?api=1&query=Barbearia%20Zer0800&query_place_id=ChIJGVqp35T3zpQReX3OwdV3cmk,,Não contactado,,,,,
SP Vintage Barbearia Clássica,+55 11 99727-4063,Vila Gomes Cardim,4.9,110,https://www.google.com/maps/search/?api=1&query=SP%20Vintage%20Barbearia%20Cl%C3%A1ssica&query_place_id=ChIJESic-nBfzpQR3VOJMuI2cMc,,Não contactado,,,,,
Atelier Êxtase,+55 11 97092-9040,Tatuapé,4.9,91,https://www.google.com/maps/search/?api=1&query=Atelier%20%C3%8Axtase&query_place_id=ChIJs0UoKXFfzpQRhpPErjEx8ko,,Não contactado,,,,,
Igor Barber,+55 11 96874-0101,Tatuapé,4.2,10,https://www.google.com/maps/search/?api=1&query=Igor%20Barber&query_place_id=ChIJf_rwADRfzpQRaoJacsHzEz4,,Não contactado,,,,,
Pizzo Barber,+55 11 95824-0927,Tatuapé,5,36,https://www.google.com/maps/search/?api=1&query=Pizzo%20Barber&query_place_id=ChIJc5_KPNpfzpQRb2VUF1juCOo,,Não contactado,,,,,
Ronibarber,+55 11 98859-2905,Tatuapé,4.9,52,https://www.google.com/maps/search/?api=1&query=Ronibarber&query_place_id=ChIJn_nhjENfzpQRAFE1X0g4yik,,Não contactado,,,,,
Barbearia e Cabeleireiro Jaú Sp zl Tatuapé(são Paulo),+55 11 96163-9985,via zap somente,4.7,95,https://www.google.com/maps/search/?api=1&query=Barbearia%20e%20Cabeleireiro%20Ja%C3%BA%20Sp%20zl%20Tatuap%C3%A9(s%C3%A3o%20Paulo)&query_place_id=ChIJNU7MCvpezpQRDog4zCkvZPc,,Não contactado,,,,,
Barbearia Élégance,+55 11 97032-1500,Tatuapé,4.9,20,https://www.google.com/maps/search/?api=1&query=Barbearia%20%C3%89l%C3%A9gance&query_place_id=ChIJ0SsTZytfzpQRXYSOawUDtFg,,Não contactado,,,,,
Barbearia Queiroz,+55 11 98542-2768,Tatuapé,5,56,https://www.google.com/maps/search/?api=1&query=Barbearia%20Queiroz&query_place_id=ChIJt7wTUzVfzpQRxWftvsoVp-s,,Não contactado,,,,,
Finos Barber studio,+55 11 95118-3773,Tatuapé,5,2,https://www.google.com/maps/search/?api=1&query=Finos%20Barber%20studio&query_place_id=ChIJ3yp7sRZfzpQRywbIAh_AAtk,,Não contactado,,,,,
NOVO PANORAMA BARBEARIA,+55 11 97353-7516,Tatuapé,4.8,74,https://www.google.com/maps/search/?api=1&query=NOVO%20PANORAMA%20BARBEARIA&query_place_id=ChIJay8RCN1ezpQRajf5yEax0Ic,,Não contactado,,,,,
Samurai Barbearia,+55 11 99839-1590,Vila Gomes Cardim,5,52,https://www.google.com/maps/search/?api=1&query=Samurai%20Barbearia&query_place_id=ChIJOxL2Hf1fzpQRRN9JdIZidjU,,Não contactado,,,,,
São Paulo barbearia,+55 11 93759-4342,Sumarezinho,4.7,193,https://www.google.com/maps/search/?api=1&query=S%C3%A3o%20Paulo%20barbearia&query_place_id=ChIJc0euML5XzpQRySI_sIsLb3s,,Não contactado,,,,,
Buiu Barbearia,+55 11 96027-2032,Pinheiros,4.7,31,https://www.google.com/maps/search/?api=1&query=Buiu%20Barbearia&query_place_id=ChIJQ5ssRI9XzpQRBrHzto6c7DI,,Não contactado,,,,,
Barbearia Los Cordeiros Perdizes,+55 11 95722-6243,Perdizes,5,124,https://www.google.com/maps/search/?api=1&query=Barbearia%20Los%20Cordeiros%20Perdizes&query_place_id=ChIJOzsu8VVXzpQRfX8-kFATnIc,,Não contactado,,,,,
Barbearia Turismo,+55 11 96027-2032,Pinheiros,5,6,https://www.google.com/maps/search/?api=1&query=Barbearia%20Turismo&query_place_id=ChIJQ5ssRI9XzpQRBAVBGU2WgsY,,Não contactado,,,,,
Barbearia dos Irmãos - Vila Madalena,+55 11 3814-2245,Vila Madalena,4.8,301,https://www.google.com/maps/search/?api=1&query=Barbearia%20dos%20Irm%C3%A3os%20-%20Vila%20Madalena&query_place_id=ChIJ9SEBkMdXzpQRahGsOXxa8jE,,Não contactado,,,,,
Barbearia do Rodrigo,+55 11 98372-1918,Alto de Pinheiros,4.8,68,https://www.google.com/maps/search/?api=1&query=Barbearia%20do%20Rodrigo&query_place_id=ChIJyayj_ydWzpQRyFZoPBOMVKk,,Não contactado,,,,,
